source,target
6,0
3,2
3,99
3,1851
30,751
30,752
30,199
30,99
99,199
99,1851
1851,1799
9,1396
9,8
8,1043
1043,1458
1043,1799
1043,1520
1396,1799
1396,954
1396,11
1863,1334
1863,2966
1863,955
1863,1471
1863,1862
1863,609
1863,1937
1863,3637
642,1461
642,1045
642,1908
642,6005
642,3817
642,6129
642,140
642,2508
642,320
642,4453
642,2067
642,5136
642,8416
642,2509
642,6904
642,3023
642,358
642,365
10,1384
1384,1908
1384,640
1384,3167
1384,6630
1384,3716
86,857
86,41
86,13
86,15
524,63
524,3888
524,854
524,59
524,100
524,280
524,1206
524,1280
17,46
17,89
17,87
17,15
15,176
176,147
176,668
176,127
172,167
172,78
172,364
172,357
172,404
172,76
172,403
172,767
172,445
172,1599
172,443
172,442
172,16
172,175
46,94
46,4098
87,199
87,42
87,89
89,199
89,42
25,51
25,844
25,94
25,193
25,495
25,691
25,1923
25,40
19,51
19,93
19,92
19,469
51,469
92,141
92,85
93,141
93,29
93,199
93,2792
93,326
93,20
469,1171
469,194
1171,53
1171,2712
1171,54
1171,1525
1171,1526
1171,27
1171,1596
1171,945
1171,4097
21,94
94,562
211,751
211,518
211,752
211,24
24,518
518,462
438,803
438,697
438,82
438,392
496,1251
496,884
496,207
496,228
555,285
639,687
639,1044
639,1907
639,1458
691,692
844,466
1672,1169
3110,6011
3110,2723
3110,3824
3110,5756
3110,2006
3110,2956
3110,2446
3110,4478
3541,2290
3541,2291
3712,4460
3712,5138
3712,752
3712,2437
3715,4461
3715,4459
3715,2439
3715,4460
29,27
29,1798
27,3105
27,53
53,54
53,58
955,1222
955,1275
955,803
1799,1275
1799,1276
3105,58
3105,3816
3105,5660
3105,3636
3105,2535
1222,803
1222,2137
1222,521
1222,2225
1798,2966
199,55
199,251
199,44
199,755
751,847
751,1591
751,4866
751,1593
752,1591
848,1274
848,95
848,240
848,1276
848,239
848,56
848,31
285,521
285,603
285,32
119,33
119,610
119,326
37,36
37,127
127,372
127,659
42,88
41,177
41,85
41,398
177,770
177,413
177,178
398,145
398,1056
398,3886
2803,4791
2803,3380
2803,3395
2803,3394
47,45
47,254
47,48
45,1864
289,475
289,3379
289,3381
289,3380
289,1389
289,2227
289,61
289,253
289,951
289,610
289,250
289,506
289,1347
289,62
289,300
289,6435
289,121
289,1916
1864,240
1864,3039
1864,610
254,1811
254,288
254,859
254,103
254,84
254,1186
254,220
254,255
254,572
254,480
254,913
254,4959
254,916
254,917
254,96
1670,1168
1670,800
1670,2788
1670,2697
1670,49
1670,3368
1670,50
54,55
54,2302
58,57
2301,2966
2301,1741
2301,2226
2301,1275
55,222
1229,1741
1229,475
1229,1347
1229,809
2302,1682
2302,110
57,240
240,101
521,562
521,214
61,291
291,111
291,303
301,113
301,63
301,300
301,1228
125,653
125,66
66,328
328,1328
328,1004
328,1478
383,72
383,311
395,1053
395,73
73,397
397,4791
397,170
397,711
697,1728
697,1539
697,1463
171,441
171,1542
171,75
75,364
75,404
364,1059
364,701
364,333
404,1542
404,1124
78,410
410,150
372,764
372,707
372,79
420,80
420,1146
420,781
421,781
421,419
421,1202
421,182
421,733
421,1143
421,453
425,1150
425,81
425,1206
425,790
426,1150
426,744
426,160
426,789
82,439
82,194
82,945
194,803
194,945
407,764
407,147
407,204
407,1185
444,991
444,1545
444,475
444,809
1227,1741
1227,2147
1227,2238
1227,2236
1741,1811
1741,1810
1741,1282
1741,3643
857,5385
857,4702
857,1877
204,90
204,179
141,698
141,392
392,753
392,754
326,1000
326,1409
1276,2226
1276,239
1682,2226
1682,3381
1682,1334
1682,1180
1682,1182
1682,2303
1682,2136
562,475
